Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
EPR,EPR Properties,36.69,-1.3974738,-0.52,Sell,494393,18139279.17,2752287628,20.57392458,1.8119,53,Finance
AHH,"Armada Hoffler Properties, Inc.",10.68,-1.47601476,-0.16,Sell,488421,5216336.28,943588502,29.40857298,0.3686,138,Finance
WRE,Washington Real Estate Investment Trust,17.14,-0.75275043,-0.13,Sell,484912,8311391.68,1498076772,178.77846791,0.0966,53,Finance
RPT,RPT Realty,8.37,-2.56111758,-0.22,Sell,429848,3597827.76,712904293,46.13319012,0.2572,125,Finance
FCPT,"Four Corners Property Trust, Inc.",23.27,-2.63598326,-0.63,Sell,428915,9980852.05,1895566404,19.83073349,1.2077,461,Finance
TRNO,Terreno Realty Corporation,52.26,-3.2759578,-1.77,Sell,423145,22113557.7,3948084345,23.70256635,2.2844,34,Finance
PECO,"Phillips Edison & Company, Inc.",28.26,-2.48447205,-0.72,Sell,415885,11752910.1,3297941940,106.77966102,0.2955,290,Finance
EGP,"EastGroup Properties, Inc.",141.69,-2.3770153,-3.45,Sell,412885,58501675.65,6172869076,28.2428488,5.1556,82,Finance
UMH,"UMH Properties, Inc.",15.96,-0.9310987,-0.15,Sell,362444,5784606.24,878834214,,-0.3792,430,Finance
PLYM,"Plymouth Industrial REIT, Inc.",16.07,-2.3100304,-0.38,Sell,352053,5657491.71,652729038,,-0.8329,39,Finance
SRG,Seritage Growth Properties,8.31,-4.04157044,-0.35,Strong Sell,350343,2911350.33,568298874,,-2.6433,40,Finance
HT,Hersha Hospitality Trust,7.76,-2.14375788,-0.17,Sell,346066,2685472.16,307256923,,-1.5087,28,Finance
ALEX,"Alexander & Baldwin, Inc.",17,-2.13010938,-0.37,Sell,340973,5796541,1236200462,46.97133586,0.3707,611,Finance
RHP,"Ryman Hospitality Properties, Inc. (REIT)",80.44,-0.28511219,-0.23,Neutral,338676,27243097.44,4436685727,425.92397043,0.201,1061,Finance
FBRT,"Franklin BSP Realty Trust, Inc.",11.91,-0.08389262,-0.01,Neutral,316109,3764858.19,997779065,,-2.6555,,Finance
AOMR,"Angel Oak Mortgage, Inc.",8.94,-11.30952381,-1.14,Strong Sell,312582,2794483.08,222934538,,-3.5286,,Finance
